Cooling Rate	Total Wire Length
63971.8	127.944
47978.8	127.944
35984.1	127.944
26988.1	127.944
20241.1	127.944
15180.8	127.944
11385.6	127.944
8539.2	127.944
6404.4	127.944
4803.3	122.658
3602.48	122.658
2701.86	115.394
2026.39	112.531
1519.79	112.531
1139.85	111.5
854.884	111.5
641.163	106.199
480.872	106.199
360.654	102.45
270.491	102.45
202.868	100.44
152.151	100.44
114.113	100.44
85.585	100.44
64.1887	100.44
48.1415	100.44
36.1062	100.44
27.0796	100.44
20.3097	100.44
15.2323	100.44
11.4242	100.44
8.56816	100.44
6.42612	100.44
4.81959	100.44
3.61469	100.44
2.71102	100.44
2.03326	100.44
1.52495	100.44
1.14371	100.44
0.857783	100.44
0.643338	98.7819
0.482503	98.7819
0.361877	98.7819
0.271408	97.1355
0.203556	97.1355
0.152667	97.1355
0.1145	97.1355
0.0858752	97.1355
0.0644064	97.1355
0.0483048	97.1355
0.0362286	97.1355
0.0271715	97.1355
0.0203786	97.1355
0.0152839	96.53
0.011463	96.53
0.00859722	96.53
0.00644791	94.53
0.00483593	94.53
0.00362695	94.53
0.00272021	94.53
0.00204016	94.53
0.00153012	94.53
0.00114759	93.2939
0.000860692	93.2939
0.000645519	93.2939
0.000484139	91.9058
0.000363105	91.9058
0.000272328	91.9058
0.000204246	91.9058
0.000153185	90.3003
0.000114889	90.3003
8.61664e-005	90.3003
6.46248e-005	86.891
4.84686e-005	86.891
3.63515e-005	85.5215
2.72636e-005	85.5215
2.04477e-005	85.5215
1.53358e-005	85.5215
1.15018e-005	84.9843
8.62637e-006	84.9843
6.46978e-006	84.9843
4.85233e-006	84.9843
3.63925e-006	82.6932
2.72944e-006	82.6932
2.04708e-006	82.1074
1.53531e-006	82.1074
1.15148e-006	82.1074
8.63611e-007	82.1074
6.47708e-007	82.1074
4.85781e-007	81.0495
3.64336e-007	81.0495
2.73252e-007	81.0495
2.04939e-007	81.0495
1.53704e-007	81.0495
1.15278e-007	81.0495
8.64586e-008	81.0495
6.4844e-008	81.0495
4.8633e-008	81.0495
3.64747e-008	81.0495
2.73561e-008	81.0495
2.0517e-008	81.0495
1.53878e-008	80.3992
1.15408e-008	80.3992
8.65563e-009	80.3992
6.49172e-009	80.3992
4.86879e-009	80.3992
3.65159e-009	79.1631
2.73869e-009	79.1631
2.05402e-009	79.1631
1.54052e-009	79.1631
1.15539e-009	79.1631
8.6654e-010	79.1631
6.49905e-010	79.1631
4.87429e-010	79.1631
3.65572e-010	79.1631
2.74179e-010	79.1631
2.05634e-010	79.1631
1.54226e-010	79.1631
1.15669e-010	79.1631
8.67518e-011	79.1631
6.50639e-011	79.1631
4.87979e-011	79.1631
3.65984e-011	79.1631
2.74488e-011	79.1631
2.05866e-011	79.1631
1.544e-011	79.1631
1.158e-011	79.1631
8.68498e-012	79.1631
6.51374e-012	79.1631
4.8853e-012	79.1631
3.66398e-012	79.1631
2.74798e-012	79.1631
2.06099e-012	79.1631
1.54574e-012	79.1631
1.1593e-012	79.1631
8.69479e-013	79.0987
6.52109e-013	79.0987
4.89082e-013	79.0987
3.66811e-013	79.0987
2.75108e-013	79.0987
2.06331e-013	79.0987
1.54749e-013	79.0987
1.16061e-013	79.0987
8.7046e-014	79.0987
6.52845e-014	79.0987
4.89634e-014	79.0987
3.67226e-014	79.0987
